State Name,City Name,Year,Month,Day of Week,Time of Day,Accident Severity,Number of Vehicles Involved,Vehicle Type Involved,Number of Casualties,Number of Fatalities,Weather Conditions,Road Type,Road Condition,Lighting Conditions,Traffic Control Presence,Speed Limit (km/h),Driver Age,Driver Gender,Driver License Status,Alcohol Involvement,Accident Location Details,severity,hour,month,day_enc,road_type_enc,weather_enc,road_cond_enc,lighting_enc,alcohol,num_vehicles,num_casualties,junction_enc,cause_enc,risk_score,latitude,longitude,highway,state_region
Madhya Pradesh,Unknown,2018,June,Tuesday,8:10,Serious,5,Two-Wheeler,6,3,Rainy,Urban Road,Dry,Dusk,Signals,30,20,Female,Expired,Yes,Bridge,2,8,6,1,2,3,1,3,1,5,6,0,0,6.36,33.54996,75.11506,NH44_North,Jammu & Kashmir
Puducherry,Unknown,2022,February,Wednesday,1:35,Serious,2,Car,10,3,Hazy,Urban Road,Dry,Dusk,Signs,55,41,Female,Valid,No,Straight Road,2,1,2,2,2,2,1,3,0,2,10,0,0,6.97,23.04668,83.47715,NH30_Patna_Visakhapatnam,Chhattisgarh
Uttar Pradesh,Varanasi,2022,July,Friday,18:51,Fatal,1,Two-Wheeler,9,4,Clear,National Highway,Wet,Dawn,Signals,34,23,Female,Expired,Yes,Bridge,3,18,7,4,0,0,3,1,1,1,9,0,0,8.79,18.53826,73.83033,NH9_Pune_Hyderabad,Maharashtra / Telangana
Maharashtra,Nagpur,2022,December,Tuesday,13:34,Serious,3,Cycle,1,3,Foggy,National Highway,Dry,Daylight,,106,48,Male,,No,Intersection,2,13,12,1,0,1,1,2,0,3,1,0,0,4.24,27.20364,77.96823,NH44_Delhi_Agra,Uttar Pradesh
Jammu and Kashmir,Unknown,2022,February,Monday,3:29,Serious,1,Two-Wheeler,1,1,Foggy,Urban Road,Damaged,Dawn,Police Checkpost,31,20,Male,,No,Straight Road,2,3,2,0,2,1,0,1,0,1,1,0,0,2.42,25.93021,90.23011,NH52_Barasat_Guwahati,West Bengal / Assam
Tamil Nadu,Madurai,2018,August,Tuesday,11:10,Fatal,3,Auto-Rickshaw,2,2,Stormy,National Highway,Wet,Daylight,Police Checkpost,92,43,Female,,Yes,Intersection,3,11,8,1,0,4,3,2,1,3,2,0,0,4.85,27.46085,77.76504,NH44_Delhi_Agra,Uttar Pradesh
Madhya Pradesh,Unknown,2019,April,Wednesday,15:58,Minor,2,Pedestrian,7,5,Clear,State Highway,Under Construction,Daylight,Police Checkpost,71,65,Male,,No,Straight Road,1,15,4,2,1,0,2,2,0,2,7,0,0,7.27,18.12213,78.45918,NH44_Nagpur_Hyderabad,Telangana
Madhya Pradesh,Unknown,2023,August,Wednesday,0:54,Fatal,1,Car,10,1,Stormy,National Highway,Damaged,Dusk,,90,64,Female,Expired,No,Bridge,3,0,8,2,0,4,0,3,0,1,10,0,0,5.76,24.11451,73.41424,NH48_Delhi_Mumbai,Rajasthan / Gujarat
Chandigarh,Unknown,2019,March,Friday,15:42,Serious,2,Bus,8,0,Stormy,Village Road,Wet,Daylight,Signals,83,31,Female,Expired,No,Curve,2,15,3,4,3,4,3,2,0,2,8,0,0,3.64,18.49501,73.8552,NH9_Pune_Hyderabad,Maharashtra / Telangana
Uttar Pradesh,Varanasi,2018,May,Sunday,10:53,Minor,3,Two-Wheeler,2,1,Hazy,National Highway,Under Construction,Dusk,,33,24,Female,Valid,Yes,Straight Road,1,10,5,6,0,2,2,3,1,3,2,0,0,2.73,17.39962,78.49258,NH9_Pune_Hyderabad,Maharashtra / Telangana
Gujarat,Surat,2019,March,Thursday,15:1,Fatal,2,Car,7,0,Stormy,State Highway,Under Construction,Dawn,Signs,69,51,Female,Valid,No,Bridge,3,15,3,3,1,4,2,1,0,2,7,0,0,3.94,18.59478,78.29157,NH44_Nagpur_Hyderabad,Telangana
Uttar Pradesh,Lucknow,2022,November,Tuesday,9:25,Fatal,1,Bus,0,3,Clear,National Highway,Under Construction,Dark,Signals,53,63,Male,Valid,No,Straight Road,3,9,11,1,0,0,2,0,0,1,0,0,0,4.55,26.23041,78.42739,NH44_Agra_Nagpur,Madhya Pradesh
Maharashtra,Mumbai,2020,July,Saturday,23:21,Serious,5,Bus,6,2,Hazy,Urban Road,Damaged,Dawn,Signs,82,68,Female,Valid,No,Curve,2,23,7,5,2,2,0,1,0,5,6,0,0,4.85,27.86551,77.41212,NH44_Delhi_Agra,Uttar Pradesh
Odisha,Unknown,2018,July,Thursday,12:1,Minor,3,Auto-Rickshaw,7,2,Stormy,State Highway,Damaged,Dark,Signs,79,41,Male,Valid,Yes,Curve,1,12,7,3,1,4,0,0,1,3,7,0,0,5.15,17.85141,74.82309,NH9_Pune_Hyderabad,Maharashtra / Telangana
Telangana,Unknown,2023,August,Saturday,17:37,Minor,2,Pedestrian,8,3,Stormy,National Highway,Dry,Dawn,,30,40,Male,,Yes,Bridge,1,17,8,5,0,4,1,1,1,2,8,0,0,6.36,28.5821,77.22968,NH48_Delhi_Mumbai,Rajasthan / Gujarat
West Bengal,Durgapur,2023,February,Sunday,11:2,Serious,3,Cycle,9,5,Hazy,Village Road,Damaged,Dark,,106,25,Female,Expired,Yes,Straight Road,2,11,2,6,3,2,0,0,1,3,9,0,0,9.09,32.25267,74.89805,NH44_North,Jammu & Kashmir
Kerala,Unknown,2019,January,Tuesday,16:3,Fatal,2,Car,3,1,Foggy,State Highway,Damaged,Dawn,,102,32,Female,Expired,No,Bridge,3,16,1,1,1,1,0,1,0,2,3,0,0,3.64,25.4171,89.82278,NH27_East_West,Rajasthan / MP / UP
Assam,Unknown,2020,July,Thursday,19:18,Minor,2,Car,1,5,Foggy,National Highway,Under Construction,Dawn,,48,69,Female,Expired,No,Curve,1,19,7,3,0,1,2,1,0,2,1,0,0,5.45,12.19463,79.24213,NH44_Bangalore_Chennai,Tamil Nadu
Nagaland,Unknown,2018,June,Saturday,17:43,Minor,5,Truck,5,3,Foggy,Urban Road,Under Construction,Dusk,Police Checkpost,32,65,Male,Valid,No,Intersection,1,17,6,5,2,1,2,3,0,5,5,0,0,4.85,20.08855,73.42056,NH48_Delhi_Mumbai,Rajasthan / Gujarat
Meghalaya,Unknown,2022,February,Monday,6:20,Serious,1,Truck,4,1,Hazy,Urban Road,Under Construction,Dusk,Signs,59,60,Male,Valid,No,Straight Road,2,6,2,0,2,2,2,3,0,1,4,0,0,3.33,20.42812,86.20388,NH16_Kolkata_Chennai,Odisha / Andhra Pradesh
Chhattisgarh,Unknown,2022,February,Wednesday,17:8,Fatal,2,Truck,5,5,Rainy,National Highway,Under Construction,Daylight,,88,53,Female,Expired,No,Bridge,3,17,2,2,0,3,2,2,0,2,5,0,0,7.88,34.14973,74.78455,NH44_North,Jammu & Kashmir
Gujarat,Surat,2022,July,Tuesday,20:19,Serious,5,Auto-Rickshaw,2,2,Foggy,Village Road,Damaged,Dusk,Signs,83,56,Male,Valid,No,Intersection,2,20,7,1,3,1,0,3,0,5,2,0,0,3.64,34.10181,74.8223,NH44_North,Jammu & Kashmir
West Bengal,Kolkata,2020,April,Friday,7:58,Minor,2,Auto-Rickshaw,2,5,Clear,State Highway,Under Construction,Dawn,,58,47,Female,Valid,No,Bridge,1,7,4,4,1,0,2,1,0,2,2,0,0,5.76,27.30199,82.41989,NH27_East_West,Rajasthan / MP / UP
West Bengal,Kolkata,2018,December,Sunday,7:46,Serious,5,Cycle,2,5,Rainy,Village Road,Damaged,Dark,Signals,30,20,Male,Valid,Yes,Straight Road,2,7,12,6,3,3,0,0,1,5,2,0,0,6.97,13.61575,79.3869,NH16_Kolkata_Chennai,Odisha / Andhra Pradesh
Tripura,Unknown,2022,February,Sunday,10:52,Serious,1,Truck,8,1,Foggy,National Highway,Damaged,Dawn,Signs,104,42,Male,Valid,No,Curve,2,10,2,6,0,1,0,1,0,1,8,0,0,4.55,23.00552,83.47469,NH30_Patna_Visakhapatnam,Chhattisgarh
Karnataka,Bangalore,2021,February,Wednesday,22:36,Minor,3,Truck,1,5,Rainy,Urban Road,Under Construction,Dark,Police Checkpost,93,44,Male,,Yes,Intersection,1,22,2,2,2,3,2,0,1,3,1,0,0,6.06,24.27577,92.9381,NH27_East_West,Rajasthan / MP / UP
West Bengal,Durgapur,2021,November,Friday,9:4,Minor,3,Auto-Rickshaw,4,4,Foggy,State Highway,Damaged,Dark,Signs,82,53,Male,,No,Intersection,1,9,11,4,1,1,0,0,0,3,4,0,0,5.45,24.16971,92.99973,NH27_East_West,Rajasthan / MP / UP
Chhattisgarh,Unknown,2020,January,Tuesday,19:34,Fatal,5,Cycle,0,2,Rainy,Village Road,Wet,Daylight,Signs,82,48,Male,Valid,Yes,Curve,3,19,1,1,3,3,3,2,1,5,0,0,0,4.24,20.48556,86.27733,NH16_Kolkata_Chennai,Odisha / Andhra Pradesh
Himachal Pradesh,Unknown,2019,October,Wednesday,5:0,Serious,2,Car,2,5,Stormy,Village Road,Under Construction,Daylight,Signs,108,37,Female,,Yes,Intersection,2,5,10,2,3,4,2,2,1,2,2,0,0,6.97,12.52141,79.48273,NH44_Bangalore_Chennai,Tamil Nadu
Gujarat,Ahmedabad,2023,May,Sunday,4:33,Minor,4,Auto-Rickshaw,9,4,Hazy,National Highway,Dry,Dusk,,41,49,Female,Valid,No,Curve,1,4,5,6,0,2,1,3,0,4,9,0,0,6.97,19.70128,73.2586,NH48_Delhi_Mumbai,Rajasthan / Gujarat
Gujarat,Ahmedabad,2019,December,Wednesday,0:26,Fatal,4,Two-Wheeler,3,5,Rainy,State Highway,Wet,Dusk,,61,51,Female,,No,Intersection,3,0,12,2,1,3,3,3,0,4,3,0,0,7.27,8.29346,77.28683,NH66_West_Coast,Maharashtra / Kerala
Uttar Pradesh,Kanpur,2018,May,Thursday,18:57,Minor,2,Two-Wheeler,6,2,Rainy,National Highway,Wet,Dusk,,109,30,Male,Valid,No,Bridge,1,18,5,3,0,3,3,3,0,2,6,0,0,4.24,19.18849,78.6105,NH44_Nagpur_Hyderabad,Telangana
Odisha,Unknown,2022,August,Tuesday,22:43,Fatal,4,Two-Wheeler,1,3,Foggy,National Highway,Under Construction,Daylight,,30,57,Male,Expired,No,Curve,3,22,8,1,0,1,2,2,0,4,1,0,0,4.85,21.60586,69.55203,NH27_East_West,Rajasthan / MP / UP
Uttarakhand,Unknown,2022,May,Sunday,9:10,Minor,5,Auto-Rickshaw,1,4,Hazy,State Highway,Damaged,Dawn,Police Checkpost,114,25,Female,,Yes,Straight Road,1,9,5,6,1,2,0,1,1,5,1,0,0,5.15,17.28757,76.19042,NH9_Pune_Hyderabad,Maharashtra / Telangana
Chhattisgarh,Unknown,2021,April,Saturday,5:38,Serious,4,Pedestrian,6,4,Foggy,State Highway,Dry,Dusk,Signals,37,22,Male,Valid,Yes,Intersection,2,5,4,5,1,1,1,3,1,4,6,0,0,7.27,16.15463,77.2896,NH44_Hyderabad_Bangalore,Karnataka
Karnataka,Mangalore,2020,October,Thursday,20:21,Serious,2,Bus,1,5,Hazy,State Highway,Under Construction,Dark,Signs,50,44,Male,Expired,No,Straight Road,2,20,10,3,1,2,2,0,0,2,1,0,0,6.06,18.54088,73.79578,NH9_Pune_Hyderabad,Maharashtra / Telangana
Uttarakhand,Unknown,2022,February,Sunday,0:35,Serious,1,Car,8,1,Stormy,National Highway,Wet,Dark,Police Checkpost,89,20,Male,,No,Intersection,2,0,2,6,0,4,3,0,0,1,8,0,0,4.55,23.47966,79.3563,NH44_Agra_Nagpur,Madhya Pradesh
Arunachal Pradesh,Unknown,2023,February,Friday,22:31,Fatal,2,Two-Wheeler,9,2,Rainy,State Highway,Under Construction,Daylight,Police Checkpost,117,59,Male,,Yes,Bridge,3,22,2,4,1,3,2,2,1,2,9,0,0,6.97,28.05331,76.84575,NH48_Delhi_Mumbai,Rajasthan / Gujarat
West Bengal,Siliguri,2022,November,Tuesday,0:24,Fatal,5,Cycle,7,4,Rainy,State Highway,Wet,Dawn,Signs,45,56,Female,,No,Bridge,3,0,11,1,1,3,3,1,0,5,7,0,0,7.58,12.68087,77.89727,NH44_Bangalore_Chennai,Tamil Nadu
Chhattisgarh,Unknown,2018,April,Monday,7:9,Serious,3,Two-Wheeler,8,3,Foggy,State Highway,Dry,Dawn,,70,62,Female,Valid,Yes,Bridge,2,7,4,0,1,1,1,1,1,3,8,0,0,6.97,21.07753,79.08815,NH44_Nagpur_Hyderabad,Telangana
Haryana,Unknown,2021,August,Sunday,8:33,Fatal,1,Two-Wheeler,6,4,Hazy,State Highway,Dry,Dark,Signals,60,56,Female,,No,Intersection,3,8,8,6,1,2,1,0,0,1,6,0,0,7.27,22.33295,79.17189,NH44_Agra_Nagpur,Madhya Pradesh
Andhra Pradesh,Vijayawada,2022,January,Monday,7:51,Minor,1,Pedestrian,0,0,Clear,National Highway,Dry,Dawn,,95,51,Female,Expired,No,Bridge,1,7,1,0,0,0,1,1,0,1,0,0,0,0.61,19.08196,72.87823,NH48_Mumbai_Bangalore,Maharashtra / Karnataka
Assam,Unknown,2023,June,Saturday,6:10,Fatal,2,Bus,6,0,Clear,Urban Road,Dry,Dusk,Signals,31,54,Female,Expired,No,Straight Road,3,6,6,5,2,0,1,3,0,2,6,0,0,3.64,16.08716,74.52222,NH48_Mumbai_Bangalore,Maharashtra / Karnataka
Himachal Pradesh,Unknown,2018,October,Saturday,10:6,Minor,1,Cycle,6,3,Foggy,Village Road,Damaged,Dawn,,85,55,Male,Valid,No,Intersection,1,10,10,5,3,1,0,1,0,1,6,0,0,5.15,25.25236,74.58427,NH48_Delhi_Mumbai,Rajasthan / Gujarat
Odisha,Unknown,2019,June,Thursday,21:56,Fatal,5,Two-Wheeler,2,3,Hazy,Village Road,Dry,Daylight,Police Checkpost,110,48,Male,Valid,Yes,Curve,3,21,6,3,3,2,1,2,1,5,2,0,0,5.76,23.01065,87.03798,NH19_Delhi_Kolkata,Uttar Pradesh / Bihar
Telangana,Unknown,2019,August,Saturday,10:54,Serious,3,Bus,3,2,Foggy,National Highway,Wet,Dawn,Signs,90,66,Male,Valid,No,Intersection,2,10,8,5,0,1,3,1,0,3,3,0,0,3.94,17.35431,78.4204,NH44_Nagpur_Hyderabad,Telangana
Uttarakhand,Unknown,2021,February,Thursday,20:23,Serious,1,Auto-Rickshaw,5,0,Foggy,Urban Road,Wet,Dark,,61,35,Male,Expired,No,Straight Road,2,20,2,3,2,1,3,0,0,1,5,0,0,2.73,19.14524,72.87279,NH48_Mumbai_Bangalore,Maharashtra / Karnataka
Goa,Unknown,2018,February,Saturday,15:1,Fatal,3,Auto-Rickshaw,0,4,Clear,Village Road,Damaged,Dawn,,35,23,Female,,Yes,Curve,3,15,2,5,3,0,0,1,1,3,0,0,0,6.06,14.85782,76.47516,NH44_Hyderabad_Bangalore,Karnataka
Chandigarh,Unknown,2023,August,Wednesday,17:55,Fatal,4,Auto-Rickshaw,2,5,Rainy,Village Road,Damaged,Dusk,Police Checkpost,85,65,Male,Valid,No,Straight Road,3,17,8,2,3,3,0,3,0,4,2,0,0,6.97,18.52839,73.86412,NH9_Pune_Hyderabad,Maharashtra / Telangana
Assam,Unknown,2023,April,Sunday,5:27,Fatal,2,Pedestrian,0,0,Stormy,State Highway,Wet,Daylight,Signals,99,59,Female,Valid,No,Intersection,3,5,4,6,1,4,3,2,0,2,0,0,0,1.82,22.95822,80.43991,NH7_Varanasi_Kanyakumari,MP / Karnataka / TN
Odisha,Unknown,2018,May,Wednesday,0:29,Serious,3,Pedestrian,0,3,Hazy,Urban Road,Wet,Dusk,,30,41,Female,,No,Intersection,2,0,5,2,2,2,3,3,0,3,0,0,0,3.94,31.82973,77.46395,NH22_Shimla_Manali,Himachal Pradesh
Mizoram,Unknown,2018,June,Friday,16:53,Serious,4,Truck,0,2,Hazy,Village Road,Dry,Dark,,97,68,Male,,Yes,Intersection,2,16,6,4,3,2,1,0,1,4,0,0,0,3.64,13.5162,77.39586,NH7_Varanasi_Kanyakumari,MP / Karnataka / TN
Gujarat,Vadodara,2023,March,Wednesday,13:40,Fatal,3,Truck,2,3,Foggy,Urban Road,Wet,Dawn,Signs,105,59,Male,Expired,No,Intersection,3,13,3,2,2,1,3,1,0,3,2,0,0,5.15,17.72261,78.51661,NH44_Nagpur_Hyderabad,Telangana
Meghalaya,Unknown,2018,April,Tuesday,2:42,Serious,5,Auto-Rickshaw,6,2,Hazy,State Highway,Under Construction,Dawn,Signs,94,45,Female,Expired,Yes,Straight Road,2,2,4,1,1,2,2,1,1,5,6,0,0,5.45,22.28316,70.28281,NH27_East_West,Rajasthan / MP / UP
Karnataka,Mysore,2019,October,Monday,5:10,Minor,4,Bus,10,2,Stormy,Village Road,Wet,Dark,,44,42,Female,,Yes,Bridge,1,5,10,0,3,4,3,0,1,4,10,0,0,6.06,23.43633,79.3161,NH44_Agra_Nagpur,Madhya Pradesh
Uttarakhand,Unknown,2020,April,Saturday,16:57,Minor,3,Bus,6,2,Clear,State Highway,Wet,Dark,Police Checkpost,66,25,Female,Expired,Yes,Straight Road,1,16,4,5,1,0,3,0,1,3,6,0,0,4.85,24.19987,84.24961,NH30_Patna_Visakhapatnam,Chhattisgarh
Delhi,Dwarka,2018,January,Tuesday,4:43,Serious,5,Two-Wheeler,1,4,Rainy,State Highway,Under Construction,Dusk,,77,63,Female,,Yes,Intersection,2,4,1,1,1,3,2,3,1,5,1,0,0,5.76,27.18021,77.98676,NH44_Delhi_Agra,Uttar Pradesh
Jharkhand,Unknown,2022,April,Thursday,0:43,Fatal,4,Cycle,10,3,Clear,State Highway,Dry,Dark,Police Checkpost,38,57,Female,,Yes,Straight Road,3,0,4,3,1,0,1,0,1,4,10,0,0,8.18,13.03013,77.52387,NH48_Mumbai_Bangalore,Maharashtra / Karnataka
Assam,Unknown,2020,April,Saturday,19:42,Minor,1,Car,3,2,Clear,Village Road,Damaged,Dark,Signals,43,60,Female,,No,Straight Road,1,19,4,5,3,0,0,0,0,1,3,0,0,3.33,26.16908,91.71194,NH52_Barasat_Guwahati,West Bengal / Assam
Jammu and Kashmir,Unknown,2023,February,Saturday,9:18,Fatal,1,Cycle,3,1,Clear,National Highway,Dry,Dusk,Signals,41,62,Male,,No,Bridge,3,9,2,5,0,0,1,3,0,1,3,0,0,3.64,23.46872,79.27927,NH44_Agra_Nagpur,Madhya Pradesh
Punjab,Unknown,2018,April,Tuesday,15:40,Serious,5,Car,1,3,Stormy,National Highway,Dry,Dark,Police Checkpost,30,49,Female,,No,Curve,2,15,4,1,0,4,1,0,0,5,1,0,0,4.24,32.88846,75.13919,NH44_North,Jammu & Kashmir
Jammu and Kashmir,Unknown,2023,December,Friday,17:12,Fatal,5,Cycle,10,3,Rainy,Urban Road,Under Construction,Dark,Signals,68,61,Female,Expired,Yes,Intersection,3,17,12,4,2,3,2,0,1,5,10,0,0,8.18,12.9138,79.83621,NH44_Bangalore_Chennai,Tamil Nadu
Gujarat,Vadodara,2018,August,Thursday,9:3,Minor,4,Pedestrian,10,0,Foggy,National Highway,Dry,Dawn,Signals,74,21,Female,Expired,No,Bridge,1,9,8,3,0,1,1,1,0,4,10,0,0,3.64,17.39288,73.41321,NH48_Mumbai_Bangalore,Maharashtra / Karnataka
Maharashtra,Nagpur,2019,June,Monday,16:44,Minor,2,Car,5,5,Hazy,State Highway,Under Construction,Dawn,Signals,101,45,Female,,Yes,Bridge,1,16,6,0,1,2,2,1,1,2,5,0,0,7.27,28.00624,76.90765,NH48_Delhi_Mumbai,Rajasthan / Gujarat
Manipur,Unknown,2020,May,Sunday,8:53,Minor,5,Two-Wheeler,10,1,Hazy,Urban Road,Wet,Daylight,Signals,33,24,Female,Valid,Yes,Bridge,1,8,5,6,2,2,3,2,1,5,10,0,0,5.15,9.90604,77.39175,NH7_Varanasi_Kanyakumari,MP / Karnataka / TN
Maharashtra,Nagpur,2023,May,Wednesday,12:2,Fatal,4,Two-Wheeler,7,1,Hazy,Urban Road,Under Construction,Dusk,Signs,57,49,Female,Expired,No,Straight Road,3,12,5,2,2,2,2,3,0,4,7,0,0,4.85,19.22546,72.92798,NH48_Delhi_Mumbai,Rajasthan / Gujarat
Chandigarh,Unknown,2020,October,Wednesday,17:6,Minor,1,Car,1,1,Rainy,Village Road,Damaged,Dusk,,43,60,Male,Expired,Yes,Curve,1,17,10,2,3,3,0,3,1,1,1,0,0,2.42,33.06332,75.55696,NH44_North,Jammu & Kashmir
Madhya Pradesh,Unknown,2022,July,Sunday,2:57,Minor,1,Car,8,2,Hazy,Urban Road,Dry,Dawn,Signs,81,18,Female,Expired,Yes,Intersection,1,2,7,6,2,2,1,1,1,1,8,0,0,5.45,22.52626,88.3159,NH16_Kolkata_Chennai,Odisha / Andhra Pradesh
Bihar,Unknown,2023,March,Monday,3:27,Fatal,4,Bus,1,1,Hazy,Village Road,Dry,Dusk,Signals,67,63,Female,Expired,No,Bridge,3,3,3,0,3,2,1,3,0,4,1,0,0,3.03,18.06614,78.4116,NH44_Nagpur_Hyderabad,Telangana
Tripura,Unknown,2022,February,Saturday,2:35,Fatal,4,Cycle,6,0,Foggy,State Highway,Under Construction,Dusk,Signals,98,64,Female,Expired,Yes,Curve,3,2,2,5,1,1,2,3,1,4,6,0,0,4.24,25.39868,83.04031,NH7_Varanasi_Kanyakumari,MP / Karnataka / TN
